Country Name,Country Code,2019,2020,2021
Aruba,ABW,31650.76054,24487.86356,29342.10086
Africa Eastern and Southern,AFE,1512.270553,1363.540741,1549.77273
Afghanistan,AFG,500.5226641,516.8665522,368.7546142
Africa Western and Central,AFW,1749.303317,1683.436391,1757.030626
Angola,AGO,2142.238757,1603.993477,1953.533757
Albania,ALB,5396.215864,5332.160475,6492.872012
Andorra,AND,41327.50203,37207.49386,42137.32727
Arab World,ARB,6384.066321,5545.455246,6271.319001
United Arab Emirates,ARE,45376.17084,37629.17417,44315.55418
Argentina,ARG,9963.672506,8496.424142,10636.1202
Armenia,ARM,4828.505178,4505.867364,4966.513471
American Samoa,ASM,13672.57666,15501.52634,15743.31076
Antigua and Barbuda,ATG,18319.45605,14787.63578,15781.3957
Australia,AUS,54941.43418,51720.37076,60443.10916
Austria,AUT,50070.40335,48809.22688,53637.70571
Azerbaijan,AZE,4805.753718,4229.910649,5387.997975
Burundi,BDI,216.9729681,216.8267413,221.4776762
Belgium,BEL,46638.68131,45517.79493,51247.01435
Benin,BEN,1170.965533,1237.949295,1319.154995
Burkina Faso,BFA,772.1668949,833.2443426,893.0771558
Bangladesh,BGD,2122.078851,2233.305524,2457.92488
Bulgaria,BGR,9879.334343,10129.81296,12221.49661
Bahrain,BHR,25869.11291,23501.91946,26562.96914
"Bahamas, The",BHS,32610.48505,23862.71099,27478.38963
Bosnia and Herzegovina,BIH,6011.370671,6012.062767,7143.310548
Belarus,BLR,6837.717826,6542.797491,7302.257794
Belize,BLZ,6210.565543,5266.87616,6228.267309
Bermuda,BMU,116153.1661,107791.8864,114090.3283
Bolivia,BOL,3472.380831,3068.812555,3345.196589
Brazil,BRA,8845.259118,6794.489159,7507.160971
Barbados,BRB,19002.96238,16643.80658,17225.4623
Brunei Darussalam,BRN,30748.73749,27179.41199,31449.07656
Bhutan,BTN,3303.964211,3009.924171,3266.364905
Botswana,BWA,6679.167674,5863.203241,6805.221274
Central African Republic,CAF,426.4087626,435.4692516,461.1374902
Canada,CAN,46328.67184,43258.26387,51987.93905
Central Europe and the Baltics,CEB,16358.47415,16293.80003,18751.02651
Switzerland,CHE,84121.93103,85656.32267,91991.60046
Channel Islands,CHI,,,
Chile,CHL,14631.94688,13094.45953,16265.09598
China,CHN,10143.8382,10408.66976,12556.33312
Cote d'Ivoire,CIV,2238.811005,2288.119498,2549.041297
Cameroon,CMR,1538.687947,1539.130559,1666.932734
"Congo, Dem. Rep.",COD,575.8827908,524.6666754,577.2092152
"Congo, Rep.",COG,2288.808138,1838.448139,2290.382891
Colombia,COL,6438.060183,5307.215228,6104.136709
Comoros,COM,1510.797358,1519.586823,1577.471027
Cabo Verde,CPV,3434.562745,2924.101807,3293.233054
